comment_phase,turn_id,speaker,role,timestamp,start_time,end_time,text,n_segments,name,stakeholder
Comment 1,163,Juandiego Wade,"Mayor, City Council",03:08:55,11335,11346,"Thank you. So that was the last of the register to speak. I'm just going to get one person from over here, Jessica.",3,Juandiego Wade,council
Comment 1,164,SPEAKER_34,NA,03:09:16,11356,11551,"Jessica Jackson, property owner of Charlottesville. Before I start, I just want to say I came here very hopeful that everyone here would be listening and actually paying attention. But it's been very sad for me to sit there and watch one of the city leaders on his telephone and reading his notes when, just out of common courtesy, we should be listening to people. So I would just ask all of the officials Please pay attention and please don't get on your phone and when you speak tonight I guarantee you I will not be on my phone and I will not be reading notes. I read the article from Charlottesville about this proposal and there's some questions that I think the city council should require Chief Kochi to provide very clear fact-based answers to. The first question is why? Why do you want to abandon the law and the core value of our country that has governed our country for many years that a person is innocent until proven guilty? The Charlottesville newspaper states that priority was given to sites where criminal activity is believed to take place. So it does not have to be a fact that criminal activity is occurring, but simply a belief that criminal activity is going on. So someone can call and say, I believe there's criminal activity on the site, and someone will be removed and their items confiscated. So that's the first question. Why do you want to abandon one of the core values of our country that we all are innocent until proven guilty? Two, the biggest question is where? This audience would ban people from sleeping and storing their possessions on public property. Where does Chief Kochis recommend that the people who are taken away, where are they supposed to move? That has to be a definitive plan for where the people will go or will they be just told to leave? When the snow is on the ground or it's pouring buckets of rain, where are they supposed to go? The plan for the people who are homeless, is it just to remove them? Is it jail? Or is it just to get them to a less visible site? And my third question is why? Why do you want this amendment enacted now? And I know y'all aren't voting tonight, but it's just so disheartening to think that we would criminalize the poor, take their possessions, call it a crime to be poor. And I believe that it's much more important for our city to work on providing adequate housing. It's time for our city to stop letting big businesses and the University of Virginia buy up large amounts of land and just perpetuate poverty and inadequate housing, not only for the poor, the middle class, and the homeless. Thank you, Ms.",29,Jessica Jackson,public
Comment 1,165,SPEAKER_36,NA,03:12:32,11552,11552,Jackson.,1,unidentified,unknown
Comment 1,166,SPEAKER_14,NA,03:12:47,11567,11605,"Good evening, Mr. Mayor and City Council. My name is Christopher Hall. I've been displaced and homeless for the past ten years. When I was in Charlottesville before, it was a different environment ten years ago. Now I understand there is all this unrest going on because people are discriminating against us. They're afraid of everything going on. They see, you know, I worked in recovery. I was a peer support specialist. I have worked in the field. We also go through our own walks, but right now this ordinance, it's appeasement. It's appeasement of the current administration and it's appalling.",11,Christopher Hall,public
Comment 1,167,SPEAKER_32,NA,03:13:30,11610,11610,Thank you.,1,unidentified staff/clerk,police_staff
Comment 1,168,SPEAKER_09,NA,03:13:45,11625,11650,"Hi, my name is Greer Akenbach. I am Executive Director of Friends of Charlottesville Downtown. I am here to speak in favor of the ordinance on camping and storage on city property. Friends of Charlottesville downtown is by nature not a political organization. Our mission is to stimulate social and economic vitality, which puts me in the very unenviable position tonight to speak on behalf.",5,Greer Akenbach,business
Comment 1,169,Juandiego Wade,"Mayor, City Council",03:14:22,11662,11662,We're listening.,1,Juandiego Wade,council
Comment 1,170,SPEAKER_22,NA,03:14:24,11664,11664,Look at this brave woman here.,1,unidentified frequent commenter,public
Comment 1,171,SPEAKER_09,NA,03:14:28,11668,11825,"I represent many visitors and business owners who are afraid to speak in favor of this ordinance for fear they will be misrepresented in a way that affects their businesses and their families. We have a serious problem on the downtown mall and the lack of ordinances is leading to a decrease in visitors and business activity. We agree with Mr. Vogel that there should be a designated camping area in the city until we can provide enough shelter beds, but it should not be in our business district. The city has invested millions of dollars into the downtown mall and seen a return on that investment tenfold in the form of tax revenue. You have a fiduciary responsibility to protect the tax base that funds vital social programs. The downtown mall is one of our community's most valued public spaces. It serves as a destination for residents, families, and tourists alike, as well as a vital lifeline for the small businesses that line it. Unfortunately, you win visitors. When visitors encounter encampments and cluttered belongings, aggressive panhandling, the atmosphere of the mall is diminished. This perception not only discourages tourism and local engagement, but threatens the long-term vitality of the businesses that rely on that foot traffic. Case in point, Alkazam Toy Store, an iconic business on the mall that has been here for 19 years, is now closing its doors. The owner cited a 35% decline in sales, attributing much of it to families no longer feeling comfortable bringing their children home. San Francisco is a cautionary example of what happens when cities delay action. Despite years of efforts and hundreds of millions of dollars spent towards programs and homeless shelters, their crisis only worsened. until ordinance were put in place, Charlottesville is now at a similar crossroads. We understand that there is a small contingent of vocal people who feel that these ordinances are considered lacking conscience. But this is a dangerous position to take. A thriving city in a downtown mall benefits the entire city culturally, socially, and economically. Thank you for your time.",19,Greer Akenbach,business
Comment 1,172,Juandiego Wade,"Mayor, City Council",03:17:09,11829,11843,"John, John, John, have a seat. Arthur Long, please, sir. John, please sit down. All right. John, John, John, thank you.",5,Juandiego Wade,council
Comment 1,173,SPEAKER_25,NA,03:17:28,11848,12007,"So my name is Reverend Dr. Arthur Long Jr. from the First Baptist Church downtown. Can you speak up, please, sir? from First Baptist Church downtown, Charlottesville. And I'd like to first of all say upon my arrival to Charlottesville, I visited downtown mall with my family. The reason why the businesses are small and they're struggling is not because of the homelessness. It's because of the price point. When a person cannot afford to purchase goods at a reasonable cost, The businesses diminish. That's number one. Secondly, you gotta realize is this, homelessness is here for a reason because we've neglected the needs of these people. So instead of looking at the need of a person, social, economical, mental illness, or even substance abuse, if you can't meet these needs, you're gonna always have this problem. When we're looking at one another, everybody in this room is dressed to what they have. But when you actually look at it, some of us in this room, even listen to me talk right now, are one paycheck away from homelessness, one paycheck away from poor. I come from a big city. And the reason why I'm here talking about this is because homelessness strikes hard to me. I've dealt with homelessness in Newark, New Jersey, even in Jersey City. You can shake your head how you want to, my friend. I dealt with this to a certain extent with taking people who have mental conditions to rehabs and drug facilities where they can get help, not just taking them or sending them, taking them by the hand, walking them to their destination and partner with them along the way. You can't force this only on churches. This is a community effort. And if it's going to work, the chief got to reevaluate his circumstances here because it doesn't work this way. Because when you look at it, you're saying, first of all, it'd be a misdemeanor offense. How many of these misdemeanor offenses is it going to take before it actually becomes punishable? And then you look at it from another perspective that says you approved a budget for a jail renovation. Was this the back story to say, well, listen, we renovated the jail so we could put homeless people there? So when you think about it, think about all the dynamics of it, and it just shocks me that after Trump signs this thing into law, now we're meeting about it tonight. Thank you.",28,Rev. Dr. Arthur Long Jr.,public
Comment 1,174,SPEAKER_19,NA,03:20:21,12021,12198,"Good evening, Alex Joyner. I'm co-chair of Impact Charlottesville, which incorporates 27 different faith communities in Charlottesville and Albemarle. I'm a resident of the county and pastor of Charlottesville First United Methodist Church in downtown Charlottesville, and I'm here to speak to this proposed ordinance on camping and storage. From the number of people who've spoken and signed up tonight, it's clear that we live in a community that recognizes homelessness is a major issue and it wants to see it addressed with respect for the individuals affected. The congregation that I serve, along with a lot of partners in this city, has a long history to serve the immediate needs but also to advocate for more housing and for more affordable housing, which is the only long-term solution to this. We're founding members of Pacham, which houses over 50 people a night through the cold weather months. With our downtown partners, we have a feeding ministry that serves roughly 160 free lunches every day. Through Impact, we've pushed the city to dedicate $10 million a year to affordable housing each of the last four years. and we're investing in affordable housing for IDD individuals at 501 Cherry Avenue. Each of these efforts gives us the chance to develop relationships and to know those on the streets and partners who serve the same population. As I read this ordinance, I'm glad to see language that refers to, quote, a compassionate and empathetic approach that ensures our unhorsed, I'm sure that means unhoused, neighbors are treated with dignity and respect. I'm also glad to see the accompanying protocol which encourages, quote, a team approach connecting city staff with nonprofit partners and ensuring a consistent, fair response. I saw this in October of 23 when our congregation, along with other congregations in the area, hosted a community meeting with City Manager Sanders and Chief Kochis to discuss ways to address the rising needs we were all seeing. and I applaud the city for considering serious steps towards providing more alternatives for shelter housing including a year-round overnight shelter. But those plans are not in place and my question is what new thing will be put in place through this ordinance to provide hope for those with no home? The briefing summary says the city has no intent to criminalize homelessness but what happens to individuals who are displaced when the alternative structures that we need are not there? There's a movement in this country that we've referred to that would use force first as a way to sweep homelessness out of the public eye. I'm grateful that this has not been the approach in our city, and I hope we will make our language a reality and see This ordinance in the light of a whole approach to this very real problem. In other words, that we will consider it in the light of the people that we see every day who struggle to keep going and who are each one made in the image of God. Thank you.",21,Alex Joyner,public
Comment 1,175,SPEAKER_32,NA,03:23:19,12199,12199,Thank you. Is anyone over here to speak?,2,unidentified staff/clerk,police_staff
Comment 1,176,Juandiego Wade,"Mayor, City Council",03:23:29,12209,12210,The gentleman in the back. I'll come back over here.,2,Juandiego Wade,council
Comment 1,177,SPEAKER_13,NA,03:23:36,12216,12411,"Sir in the back with the... Hello, my name is Jordan McNish and I live at 1226 Rockfish River Road. I had a statement, I still have it, but I just wanted to comment on some things that I heard I heard Jeff Fogel talk about the idea of a designated camping area, and I think that's a great idea. I also heard the woman from, I believe it was Friends of Charlottesville, mention the same thing and also support this ordinance. And while I think that's an interesting thing to pursue, this ordinance has nothing to do with that. This ordinance doesn't just protect businesses a little bit or do a little trimming around the edges. It makes being homeless totally fucking illegal, like anywhere. You can't sleep anywhere. I'll just go through my statements, probably. I don't have time for it all. I've lived in this area the majority of my life. I began to experience periodic homelessness when I ran away at 16. The cold nights when I unexpectedly had to sleep outside were the worst because it'd be cold and I had no gear. So if the sun would come up, I'd be grateful to at least go to the park for a couple hours and lay in the sun and relative safety because no drunk person is going to come and kick me or something. It's a great time to be homeless in the day compared to cold at night. More recently, I'm 37 now, in 2020 I lost my housing when I went through a breakup and I camped in the Woolen Mills neighborhood for about two months. I was working full time still, well I was recovering from an injury so it was part time going back into full time. You know I got to have visitation with my kids and I was able to get my stuff back together and get into an apartment or I rented a room and that was great and I couldn't have done all that like if I had to just rely on a shelter I mean you know I'd see my kid until seven you have to be at the only and you know I'm so glad we have the shelter you have to be in at a certain time there's like bars to entry and stuff and the camping area or multiple areas or even not passing this awful ordinance allows people a little bit of autonomy which can help them get it together. I do support shelters. We need many, many more beds. We need as much as we can do. We need the lowest bar to entry that we can possibly achieve. This is some crazy dystopian crap, this ordinance. There's no tolerance here. Aren't you guys all Democrats? Aren't you supposed to give a shit? I also wonder, I see this was brought by the chief of police, like I also wonder if like once they get rid of homeless people if they're gonna kick nimby yuppies out when they're sleeping on their blankets in the park after a picnic. That's all.",29,Jordan McNish,public
Comment 1,178,Juandiego Wade,"Mayor, City Council",03:26:52,12412,12412,Thank you.,1,Juandiego Wade,council
Comment 1,179,SPEAKER_02,NA,03:27:00,12420,12463,"Hi, my name is Dr. Jean Catherine Gray and I'm speaking as a business owner. I want to know why we are not putting our energy, our creativity, our ability to endeavor and make something new and apply it as a whole on the downtown mall to this problem. Why on earth would businesses get together and try to make it illegal to live instead of getting together and saying, we have an incredible resource in our community. Why don't we decide that we want to transform the feeling on the downtown mall by walking out to meet our homeless neighbors, by making sure they have the resources they need, by creating places where they can sleep safely. Businesses should be working together to improve our community, not tear it down.",6,Dr. Jean Catherine Gray,business
Comment 1,180,SPEAKER_29,NA,03:28:05,12485,12658,"Hello, I'm Shayla Washington. I'm the executive director of the Blue Ridge Area Coalition for the Homeless, or BRAC. I've had the honor of serving in this position for almost two years. Prior to that, I worked at The Haven for five years. I served on the Pochin Board of Directors for six years, worked for the city of Charlottesville during the pandemic, serving many of our community members with financial aid and emotional support during a very unprecedented time. But before all of that, I actually experienced homelessness here in the city of Charlottesville. And there were times when I would wake up in my car, which I was blessed to have, and there'd be police headlights trained on my car and I would wake up thinking, oh my God, am I going to get arrested because I'm homeless, because I don't have a place to live? Meanwhile, I should have been thinking, is somebody going to break into my car or even worse, rape me? This is the unfortunate reality of so many people who are unhoused, right? And there's so many human beings in our homeless system of care, not only here, but across the country who are going through the same exact predicament. So I come to you tonight, not only as the ED of a homeless coalition, but as also as a city resident and concerned community member about this particular ordinance that you're trying to pass. I've been on the other side of this trauma and I've made it through, but not everybody is as lucky as me. This is not the time to be adhering to draconian Trump-like policies on some of our most vulnerable community members. Yes, we have Salvation Army, but many people can't stay there due to a number of reasons, lack of beds, lack of mobility to climb into an upper bunk. And yes, some people do abuse drugs and alcohol, but if you were going through the trauma of homelessness, wouldn't you do that too? Handing out class four misdemeanors to people who have no designated place to lay their head at night is cruel and inhumane. BRAC and the Continuum of Care are requesting the following Delay voting on the addition of Section 17-30 to the Charlottesville City Code until discussions regarding our community's proposed year-round low-barrier shelter develop into a more tangible reality In the interim, designate up to three city-owned spaces for people experiencing homelessness to officially be permitted to camp These camping spaces can come equipped with security detail for not only the unhoused residents, but people who are concerned for their safety in the community. Each site should be accessible to a Charlottesville area transit stop and have a maximum allowable number of residents for ease of management. Each site will be regularly visited by outreach workers and CPD monitoring. And also participate in a working group so we can work on this issue altogether. Comprised of city leadership, Charlottesville Police Department, homeless services providers like BRAC, The Haven, Salvation Army, Pacham, and those who are invested in creating workable solutions for unhoused population. It's important to note that this conversation should not be happening without talking about affordable housing at the end of it. We need to create more permanent affordable housing and Charlottesville should not be considered a world-class city unless we're talking about housing for all and not just the people who can help.",25,Shayla Washington,public
Comment 2,328,Juandiego Wade,"Mayor, City Council",04:55:33,17733,17740,The next item on the agenda is the ordinance on camping and storage on city property. Chief Kochis will present this.,2,Juandiego Wade,council
Comment 2,329,SPEAKER_36,NA,04:55:43,17743,17744,Private here. Chief. Chief.,3,unidentified,unknown
